stamp	latitude	longitude	yaw	height
1568299123.088	31.8879262	118.8107301	101.21	18.67
1568299124.086	31.8879263	118.8107301	101.22	18.62
1568299125.181	31.8879263	118.8107300	101.23	18.62
1568299126.035	31.8879263	118.8107300	101.23	18.60
1568299127.030	31.8879263	118.8107301	101.24	18.58
1568299128.031	31.8879264	118.8107301	101.24	18.54
1568299129.029	31.8879263	118.8107301	101.25	18.49
1568299130.022	31.8879263	118.8107303	101.25	18.49
1568299131.021	31.8879262	118.8107304	101.26	18.51
1568299132.017	31.8879262	118.8107305	101.26	18.51
1568299133.017	31.8879262	118.8107305	101.26	18.51
1568299134.033	31.8879262	118.8107306	101.26	18.50
1568299135.014	31.8879262	118.8107306	101.26	18.49
1568299136.007	31.8879261	118.8107307	101.27	18.48
1568299137.013	31.8879261	118.8107308	101.27	18.50
1568299138.003	31.8879261	118.8107308	101.28	18.51
1568299139.001	31.8879261	118.8107308	101.27	18.50
1568299139.995	31.8879260	118.8107307	101.28	18.49
1568299140.986	31.8879261	118.8107308	101.28	18.47
1568299141.996	31.8879261	118.8107307	101.28	18.45
1568299142.999	31.8879262	118.8107306	101.29	18.44
1568299143.984	31.8879262	118.8107305	101.29	18.42
1568299144.985	31.8879262	118.8107306	101.29	18.39
1568299145.983	31.8879262	118.8107307	101.29	18.38
1568299150.053	31.8879261	118.8107307	101.30	18.37
1568299151.048	31.8879261	118.8107307	101.30	18.33
1568299152.049	31.8879262	118.8107306	101.30	18.29
1568299153.047	31.8879263	118.8107306	101.30	18.25
1568299154.040	31.8879264	118.8107307	101.31	18.21
1568299155.050	31.8879266	118.8107307	101.31	18.18
1568299156.035	31.8879267	118.8107306	101.32	18.12
1568299157.053	31.8879267	118.8107306	101.32	18.07
1568299158.032	31.8879270	118.8107305	101.32	18.00
1568299159.029	31.8879271	118.8107305	101.32	17.96
1568299160.024	31.8879271	118.8107306	101.32	17.94
1568299161.020	31.8879270	118.8107306	101.32	17.94
1568299162.018	31.8879270	118.8107307	101.32	17.93
1568299163.020	31.8879271	118.8107306	101.32	17.91
1568299164.014	31.8879271	118.8107306	101.32	17.91
1568299165.008	31.8879271	118.8107305	101.32	17.88
1568299166.010	31.8879270	118.8107306	101.32	17.88
1568299167.007	31.8879270	118.8107306	101.32	17.87
1568299168.003	31.8879270	118.8107307	101.32	17.90
1568299168.997	31.8879269	118.8107309	101.32	17.96
1568299169.996	31.8879269	118.8107311	101.33	17.96
1568299170.994	31.8879268	118.8107311	101.33	17.96
1568299171.994	31.8879268	118.8107311	101.33	17.96
1568299172.990	31.8879268	118.8107311	101.32	17.96
1568299173.983	31.8879269	118.8107311	101.32	17.94
1568299174.980	31.8879269	118.8107310	101.32	17.91
1568299175.982	31.8879268	118.8107310	101.32	17.90
1568299176.979	31.8879269	118.8107310	101.32	17.89
1568299177.973	31.8879269	118.8107310	101.32	17.87
1568299178.968	31.8879269	118.8107311	101.32	17.88
1568299179.966	31.8879267	118.8107311	101.31	17.91
1568299180.965	31.8879266	118.8107311	101.31	17.91
1568299181.963	31.8879264	118.8107310	101.31	17.94
1568299182.966	31.8879264	118.8107309	101.31	17.96
1568299183.955	31.8879263	118.8107309	101.31	17.99
1568299184.950	31.8879264	118.8107309	101.30	17.98
1568299185.951	31.8879264	118.8107309	101.30	17.96
1568299186.946	31.8879264	118.8107309	101.30	17.92
1568299187.943	31.8879265	118.8107310	101.30	17.89
1568299188.941	31.8879629	118.8107230	101.30	13.71
1568299189.943	31.8879766	118.8107226	101.30	12.19
1568299190.939	31.8879807	118.8107225	101.30	11.73
1568299191.935	31.8879826	118.8107224	101.30	11.50
1568299192.929	31.8879836	118.8107223	101.30	11.41
