stamp	navigation_system	satellite_num	satellite_frequency 1 3 3	elevation	azimuth	
1568299123.081
     5	10	165	186	0	48	57600
     5	7	171	156	0	72	57088
     2	9	119	0	0	26	65024
     5	1	153	179	0	46	36608
     0	22	119	0	0	25	10753
     0	29	120	0	0	27	24064
     2	5	189	176	0	44	42496
     0	26	195	152	0	50	55808
     2	15	140	117	0	22	9216
     4	193	170	170	0	43	43264
     5	14	182	198	0	55	50688
     0	32	178	129	0	65	27904
     3	19	159	167	126	80	44544
     5	3	154	181	0	50	49920
     3	1	186	179	140	57	64000
     1	128	120	0	0	36	59648
     1	137	154	0	0	43	34816
     1	129	148	0	0	43	34816
    10	14	185	0	0	43	35328
--------------------------
1568299124.079
     5	10	165	186	0	48	57600
     5	7	170	157	0	72	57088
     2	9	118	0	0	26	65024
     5	1	153	179	0	46	36608
     0	22	115	0	0	25	10753
     0	29	119	0	0	27	24064
     2	5	189	175	0	44	42496
     0	26	195	153	0	50	55808
     2	15	139	116	0	22	9216
     4	193	170	170	0	43	43264
     5	14	182	198	0	55	50688
     0	32	181	133	0	65	27904
     3	19	159	166	125	80	44544
     5	3	152	178	0	50	49920
     5	4	130	0	0	31	30976
     3	1	186	179	141	57	64000
     1	128	124	0	0	211	0
     1	137	150	0	0	43	34816
     1	129	156	0	0	43	34816
    10	14	185	0	0	43	35328
--------------------------
1568299125.152
     5	10	166	185	0	48	57600
     5	7	170	160	0	72	57088
     2	9	121	0	0	26	65024
     5	1	154	179	0	46	36608
     0	22	117	0	0	25	10753
     0	29	124	0	0	27	24064
     2	5	189	175	0	44	42496
     0	26	196	154	0	50	55808
     2	15	140	119	0	22	9216
     4	193	170	169	0	43	43264
     5	14	180	198	0	55	50688
     0	32	182	133	0	65	27904
     3	19	158	167	125	80	44544
     5	3	153	179	0	50	49920
     3	1	188	180	138	57	64000
     1	128	119	0	0	211	0
     1	137	149	0	0	43	34816
     1	129	153	0	0	43	34816
    10	14	183	0	0	43	35328
--------------------------
1568299126.071
     5	10	166	185	0	48	57600
     5	7	170	158	0	72	57088
     2	9	116	0	0	26	65024
     5	1	154	179	0	46	36608
     0	22	118	0	0	25	10753
     0	29	123	0	0	27	24064
     2	5	189	175	0	44	42496
     0	26	195	152	0	50	55808
     2	15	138	114	0	22	9216
     4	193	170	170	0	43	43264
     5	14	180	199	0	55	50688
     0	32	181	133	0	65	27904
     3	19	160	166	125	80	44544
     5	3	153	178	0	50	49920
     5	4	128	0	0	31	30976
     3	1	188	179	139	57	64000
     5	2	125	0	0	36	59392
     1	128	120	0	0	211	0
     1	137	153	0	0	43	34816
     1	129	150	0	0	43	34816
    10	14	183	0	0	43	35328
--------------------------
1568299127.065
     5	10	165	185	0	48	57600
     5	7	170	159	0	72	57088
     2	9	121	0	0	26	65024
     5	1	153	180	0	46	36608
     0	22	113	0	0	25	10753
     0	29	126	0	0	27	24064
     2	5	188	176	0	44	42496
     0	26	195	152	0	50	55808
     2	15	136	114	0	22	9216
     4	193	171	169	0	43	43264
     5	14	180	198	0	55	50688
     0	32	183	134	0	65	27904
     3	19	160	166	127	80	44544
     5	3	152	178	0	50	49920
     5	4	130	0	0	31	30976
     3	1	188	179	137	57	64000
     5	2	123	0	0	36	59392
     1	128	120	0	0	36	59648
     1	137	153	0	0	43	34816
     1	129	150	0	0	43	34816
    10	14	183	0	0	43	35328
--------------------------
1568299128.062
     5	10	164	184	0	48	57600
     5	7	170	158	0	72	57088
     2	9	118	0	0	26	65024
     5	1	153	179	0	46	36608
     0	22	116	0	0	25	10753
     0	29	124	0	0	27	24064
     2	5	188	174	0	44	42496
     0	26	196	153	0	50	55808
     2	15	135	113	0	22	9216
     4	193	168	170	0	43	43264
